"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Mitochondrial iron-sulfur cluster biogenesis"	"Mitochondrial iron-sulfur cluster biogenesis"	9	9	5	0.555555555555556	0.019723865877712	10	10	3	0	0.929282195162567	1
"Processing and activation of SUMO"	"Processing and activation of SUMO"	9	9	5	0.555555555555556	0.0335305719921105	17	18	7	0	0.929282195162567	1
"Pyrimidine salvage reactions"	"Pyrimidine salvage reactions"	9	9	5	0.555555555555556	0.029585798816568	15	15	4	0	0.929282195162567	1
"SUMOylation"	"SUMOylation"	9	9	5	0.555555555555556	0.0335305719921105	17	18	7	0	0.929282195162567	1
"Scavenging of heme from plasma"	"Scavenging of heme from plasma"	47	47	26	0.553191489361702	0.159763313609467	81	98	25	0	0.999958446134133	1
"Uptake and actions of bacterial toxins"	"Uptake and actions of bacterial toxins"	40	40	22	0.55	0.120315581854043	61	69	8	0	0.999869308749328	1
"Translation"	"Translation"	148	148	81	0.547297297297297	0.256410256410256	130	173	15	0	0.999999999999901	1
"ADP signalling through P2Y purinoceptor 12"	"ADP signalling through P2Y purinoceptor 12"	22	22	12	0.545454545454545	0.0433925049309665	22	23	4	0	0.996163344851889	1
"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	11	11	6	0.545454545454545	0.0236686390532544	12	12	3	0	0.960325303222023	1
"The citric acid (TCA) cycle and respiratory electron transport"	"The citric acid (TCA) cycle and respiratory electron transport"	147	147	80	0.54421768707483	0.236686390532544	120	156	6	0	0.999999999999934	1
"Synthesis of PA"	"Synthesis of PA"	28	28	15	0.535714285714286	0.0887573964497041	45	50	11	0	0.999218469939508	1
"Acyl chain remodelling of PG"	"Acyl chain remodelling of PG"	17	17	9	0.529411764705882	0.0414201183431953	21	22	7	0	0.992559591344124	1
"Beta defensins"	"Beta defensins"	36	36	19	0.527777777777778	0.0611439842209073	31	34	4	0	0.999904291814022	1
"Gap junction assembly"	"Gap junction assembly"	19	19	10	0.526315789473684	0.0611439842209073	31	32	9	0	0.995686686358429	1
"Assembly Of The HIV Virion"	"Assembly Of The HIV Virion"	21	21	11	0.523809523809524	0.0355029585798817	18	20	5	0	0.997488850920954	1
"NS1 Mediated Effects on Host Pathways"	"NS1 Mediated Effects on Host Pathways"	4	4	2	0.5	0.00591715976331361	3	3	2	0	0.837120757755282	1
"Acetylation"	"Acetylation"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Activation of CaMK IV"	"Activation of CaMK IV"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Activation of PKB"	"Activation of PKB"	4	4	2	0.5	0.00788954635108481	4	4	3	0	0.837120757755282	1
"Activation of PUMA and translocation to mitochondria"	"Activation of PUMA and translocation to mitochondria"	4	4	2	0.5	0.50887573964497	258	260	257	0	0.837120757755282	1
"Activation, translocation and oligomerization of BAX"	"Activation, translocation and oligomerization of BAX"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Assembly of Viral Components at the Budding Site"	"Assembly of Viral Components at the Budding Site"	6	6	3	0.5	0.00788954635108481	4	4	2	0	0.915182094299384	1
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	8	8	4	0.5	0.00986193293885602	5	5	2	0	0.954017174939046	1
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Budding"	"Budding"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"CREB phosphorylation through the activation of CaMKK"	"CREB phosphorylation through the activation of CaMKK"	4	4	2	0.5	0.00394477317554241	2	2	1	0	0.837120757755282	1
"Cysteine formation from homocysteine"	"Cysteine formation from homocysteine"	2	2	1	0.5	0.00591715976331361	3	3	3	0	0.659032026535895	1
"Defensins"	"Defensins"	46	46	23	0.5	0.0788954635108481	40	43	6	0	0.999998349533882	1
"Enzymatic degradation of Dopamine by monoamine oxidase"	"Enzymatic degradation of Dopamine by monoamine oxidase"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Enzymatic degradation of dopamine by COMT"	"Enzymatic degradation of dopamine by COMT"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Estrogen biosynthesis"	"Estrogen biosynthesis"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Fusion and Uncoating of the Influenza Virion"	"Fusion and Uncoating of the Influenza Virion"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"Fusion of the Influenza Virion to the Host Cell Endosome"	"Fusion of the Influenza Virion to the Host Cell Endosome"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"IRAK1 recruits IKK complex"	"IRAK1 recruits IKK complex"	10	10	5	0.5	0.0414201183431953	21	21	9	0	0.974479837623457	1
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	10	10	5	0.5	0.0414201183431953	21	21	9	0	0.974479837623457	1
"Inhibition of PKR"	"Inhibition of PKR"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Metabolism of serotonin"	"Metabolism of serotonin"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Mitotic Metaphase/Anaphase Transition"	"Mitotic Metaphase/Anaphase Transition"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	106	106	53	0.5	0.214990138067061	109	148	15	0	0.999999999999713	1
"Nonsense-Mediated Decay (NMD)"	"Nonsense-Mediated Decay (NMD)"	106	106	53	0.5	0.214990138067061	109	148	15	0	0.999999999999713	1
"Packaging of Eight RNA Segments"	"Packaging of Eight RNA Segments"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"Pyrophosphate hydrolysis"	"Pyrophosphate hydrolysis"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Release"	"Release"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"Release of apoptotic factors from the mitochondria"	"Release of apoptotic factors from the mitochondria"	2	2	1	0.5	0.0019723865877712	1	1	1	0	0.659032026535895	1
"Resolution of D-loop structures"	"Resolution of D-loop structures"	2	2	1	0.5	0.00591715976331361	3	3	3	0	0.659032026535895	1
"Resolution of D-loop structures through Holliday junction intermediates"	"Resolution of D-loop structures through Holliday junction intermediates"	2	2	1	0.5	0.00591715976331361	3	3	3	0	0.659032026535895	1
"SUMO is proteolytically processed"	"SUMO is proteolytically processed"	6	6	3	0.5	0.029585798816568	15	15	7	0	0.915182094299384	1
"Serotonin clearance from the synaptic cleft"	"Serotonin clearance from the synaptic cleft"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Synthesis of IPs in the nucleus"	"Synthesis of IPs in the nucleus"	4	4	2	0.5	0.00591715976331361	3	3	2	0	0.837120757755282	1
"Synthesis of Lipoxins (LX)"	"Synthesis of Lipoxins (LX)"	6	6	3	0.5	0.0157790927021696	8	8	4	0	0.915182094299384	1
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	14	14	7	0.5	0.0493096646942801	25	25	7	0	0.99180599303972	1
"TWIK-releated acid-sensitive K+ channel (TASK)"	"TWIK-releated acid-sensitive K+ channel (TASK)"	2	2	1	0.5	0.00788954635108481	4	4	4	0	0.659032026535895	1
"Toxicity of botulinum toxin type D (BoNT/D)"	"Toxicity of botulinum toxin type D (BoNT/D)"	6	6	3	0.5	0.0236686390532544	12	12	6	0	0.915182094299384	1
"Toxicity of botulinum toxin type F (BoNT/F)"	"Toxicity of botulinum toxin type F (BoNT/F)"	6	6	3	0.5	0.0236686390532544	12	12	6	0	0.915182094299384	1
"Transcriptional  activation of  cell cycle inhibitor p21"	"Transcriptional  activation of  cell cycle inhibitor p21"	2	2	1	0.5	0.506903353057199	257	257	257	0	0.659032026535895	1
"Transcriptional activation of p53 responsive genes"	"Transcriptional activation of p53 responsive genes"	2	2	1	0.5	0.506903353057199	257	257	257	0	0.659032026535895	1
"Translesion synthesis by Pol zeta"	"Translesion synthesis by Pol zeta"	2	2	1	0.5	0.0414201183431953	21	21	21	0	0.659032026535895	1
"Transport of connexons to the plasma membrane"	"Transport of connexons to the plasma membrane"	2	2	1	0.5	0.00394477317554241	2	2	2	0	0.659032026535895	1
"Transport of glycerol from adipocytes to the liver by Aquaporins"	"Transport of glycerol from adipocytes to the liver by Aquaporins"	2	2	1	0.5	0.00788954635108481	4	4	4	0	0.659032026535895	1
"Uncoating of the Influenza Virion"	"Uncoating of the Influenza Virion"	8	8	4	0.5	0.0256410256410256	13	13	9	0	0.954017174939046	1
"Virus Assembly and Release"	"Virus Assembly and Release"	10	10	5	0.5	0.029585798816568	15	15	9	0	0.974479837623457	1
"Cap-dependent Translation Initiation"	"Cap-dependent Translation Initiation"	112	112	55	0.491071428571429	0.179487179487179	91	116	15	0	0.999999999999987	1
"Eukaryotic Translation Initiation"	"Eukaryotic Translation Initiation"	112	112	55	0.491071428571429	0.179487179487179	91	116	15	0	0.999999999999987	1
"Phosphorylation of CD3 and TCR zeta chains"	"Phosphorylation of CD3 and TCR zeta chains"	25	25	12	0.48	0.0493096646942801	25	27	12	0	0.99980954775039	1
"Acyl chain remodelling of PS"	"Acyl chain remodelling of PS"	17	17	8	0.470588235294118	0.0473372781065089	24	25	7	0	0.998370517335649	1
"Latent infection of Homo sapiens with Mycobacterium tuberculosis"	"Latent infection of Homo sapiens with Mycobacterium tuberculosis"	68	68	32	0.470588235294118	0.140039447731755	71	97	10	0	0.999999999755814	1
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	56	56	26	0.464285714285714	0.11439842209073	58	64	15	0	0.999999994644114	1
"GTP hydrolysis and joining of the 60S ribosomal subunit"	"GTP hydrolysis and joining of the 60S ribosomal subunit"	105	105	48	0.457142857142857	0.161735700197239	82	99	15	0	1	1
"Early Phase of HIV Life Cycle"	"Early Phase of HIV Life Cycle"	22	22	10	0.454545454545455	0.0611439842209073	31	32	7	0	0.999813030644124	1
"Ribosomal scanning and start codon recognition"	"Ribosomal scanning and start codon recognition"	55	55	25	0.454545454545455	0.11439842209073	58	64	15	0	0.999999996973505	1
"Translation initiation complex formation"	"Translation initiation complex formation"	55	55	25	0.454545454545455	0.112426035502959	57	63	15	0	0.999999996973505	1
"3' -UTR-mediated translational regulation"	"3' -UTR-mediated translational regulation"	104	104	47	0.451923076923077	0.155818540433925	79	93	15	0	1	1
"L13a-mediated translational silencing of Ceruloplasmin expression"	"L13a-mediated translational silencing of Ceruloplasmin expression"	104	104	47	0.451923076923077	0.155818540433925	79	93	15	0	1	1
"SRP-dependent cotranslational protein targeting to membrane"	"SRP-dependent cotranslational protein targeting to membrane"	109	109	49	0.44954128440367	0.120315581854043	61	73	3	0	1	1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	108	108	48	0.444444444444444	0.126232741617357	64	77	5	0	1	1
"Toxicity of botulinum toxin type A (BoNT/A)"	"Toxicity of botulinum toxin type A (BoNT/A)"	9	9	4	0.444444444444444	0.029585798816568	15	15	6	0	0.984935899659643	1
"Respiratory electron transport"	"Respiratory electron transport"	87	87	38	0.436781609195402	0.100591715976331	51	61	4	0	0.999999999999995	1
"Translocation of ZAP-70 to Immunological synapse"	"Translocation of ZAP-70 to Immunological synapse"	23	23	10	0.434782608695652	0.0276134122287968	14	15	3	0	0.999938964275368	1
"PD-1 signaling"	"PD-1 signaling"	28	28	12	0.428571428571429	0.0315581854043393	16	17	3	0	0.999992999601272	1
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	89	89	38	0.426966292134831	0.134122287968442	68	83	15	0	0.999999999999999	1
"Formation of the ternary complex, and subsequently, the 43S complex"	"Formation of the ternary complex, and subsequently, the 43S complex"	48	48	20	0.416666666666667	0.0749506903353057	38	38	5	0	0.999999998711978	1
"Eukaryotic Translation Elongation"	"Eukaryotic Translation Elongation"	89	89	37	0.415730337078652	0.102564102564103	52	58	8	0	1	1
"Formation of a pool of free 40S subunits"	"Formation of a pool of free 40S subunits"	94	94	39	0.414893617021277	0.106508875739645	54	62	5	0	1	1
"Viral mRNA Translation"	"Viral mRNA Translation"	92	92	37	0.402173913043478	0.0986193293885602	50	58	9	0	1	1
"Abacavir metabolism"	"Abacavir metabolism"	5	5	2	0.4	0.00986193293885602	5	5	3	0	0.950813605823525	1
"Alpha-defensins"	"Alpha-defensins"	10	10	4	0.4	0.0177514792899408	9	9	6	0	0.995391961695829	1
"G2 Phase"	"G2 Phase"	5	5	2	0.4	0.0177514792899408	9	9	7	0	0.950813605823525	1
"Integration of provirus"	"Integration of provirus"	15	15	6	0.4	0.0453648915187377	23	24	7	0	0.999517458769705	1
"SUMO is conjugated to E1 (UBA2:SAE1)"	"SUMO is conjugated to E1 (UBA2:SAE1)"	5	5	2	0.4	0.00591715976331361	3	3	2	0	0.950813605823525	1
"Synthesis of GDP-mannose"	"Synthesis of GDP-mannose"	5	5	2	0.4	0.00591715976331361	3	4	3	0	0.950813605823525	1
"The IPAF inflammasome"	"The IPAF inflammasome"	5	5	2	0.4	0.0157790927021696	8	8	7	0	0.950813605823525	1
"Trafficking of myristoylated proteins to the cilium"	"Trafficking of myristoylated proteins to the cilium"	5	5	2	0.4	0.019723865877712	10	10	9	0	0.950813605823525	1
"Eukaryotic Translation Termination"	"Eukaryotic Translation Termination"	84	84	33	0.392857142857143	0.0808678500986193	41	49	6	0	1	1
"Peptide chain elongation"	"Peptide chain elongation"	84	84	33	0.392857142857143	0.0946745562130177	48	53	8	0	1	1
"Formation of ATP by chemiosmotic coupling"	"Formation of ATP by chemiosmotic coupling"	18	18	7	0.388888888888889	0.0157790927021696	8	8	2	0	0.999912808873691	1
"2-LTR circle formation"	"2-LTR circle formation"	13	13	5	0.384615384615385	0.0374753451676529	19	20	7	0	0.999194805776841	1
"Relaxin receptors"	"Relaxin receptors"	8	8	3	0.375	0.0315581854043393	16	16	6	0	0.992087509060369	1
"Neurotoxicity of clostridium toxins"	"Neurotoxicity of clostridium toxins"	20	20	7	0.35	0.0552268244575937	28	29	8	0	0.999992714875843	1
"CaMK IV-mediated phosphorylation of CREB"	"CaMK IV-mediated phosphorylation of CREB"	3	3	1	0.333333333333333	0.0019723865877712	1	1	1	0	0.907130070868191	1
"Cell redox homeostasis"	"Cell redox homeostasis"	9	9	3	0.333333333333333	0.0394477317554241	20	20	10	0	0.99780879658095	1
"Cleavage of the damaged purine"	"Cleavage of the damaged purine"	3	3	1	0.333333333333333	0.00591715976331361	3	3	3	0	0.907130070868191	1
"Depurination"	"Depurination"	3	3	1	0.333333333333333	0.00591715976331361	3	3	3	0	0.907130070868191	1
"Formation of apoptosome"	"Formation of apoptosome"	3	3	1	0.333333333333333	0.0177514792899408	9	9	9	0	0.907130070868191	1
"Inhibition of Host mRNA Processing and RNA Silencing"	"Inhibition of Host mRNA Processing and RNA Silencing"	3	3	1	0.333333333333333	0.00394477317554241	2	2	2	0	0.907130070868191	1
"Interconversion of polyamines"	"Interconversion of polyamines"	3	3	1	0.333333333333333	0.00394477317554241	2	2	2	0	0.907130070868191	1
"Oligomerization of connexins into connexons"	"Oligomerization of connexins into connexons"	3	3	1	0.333333333333333	0.00394477317554241	2	2	2	0	0.907130070868191	1
"Phosphate bond hydrolysis by NUDT proteins"	"Phosphate bond hydrolysis by NUDT proteins"	6	6	2	0.333333333333333	0.00986193293885602	5	5	3	0	0.986445117347666	1
"Recognition and association of DNA glycosylase with site containing an affected purine"	"Recognition and association of DNA glycosylase with site containing an affected purine"	3	3	1	0.333333333333333	0.00591715976331361	3	3	3	0	0.907130070868191	1
"Regulation of thyroid hormone activity"	"Regulation of thyroid hormone activity"	3	3	1	0.333333333333333	0.00591715976331361	3	3	3	0	0.907130070868191	1
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"	"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"	6	6	2	0.333333333333333	0.00591715976331361	3	3	2	0	0.986445117347666	1
"Synthesis and processing of ENV and VPU"	"Synthesis and processing of ENV and VPU"	3	3	1	0.333333333333333	0.0019723865877712	1	1	1	0	0.907130070868191	1
"TNF signaling"	"TNF signaling"	3	3	1	0.333333333333333	0.00986193293885602	5	5	5	0	0.907130070868191	1
"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus"	"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus"	3	3	1	0.333333333333333	0.0019723865877712	1	1	1	0	0.907130070868191	1
"Transport of connexins along the secretory pathway"	"Transport of connexins along the secretory pathway"	3	3	1	0.333333333333333	0.00394477317554241	2	2	2	0	0.907130070868191	1
"Alternative complement activation"	"Alternative complement activation"	4	4	1	0.25	0.0236686390532544	12	12	12	0	0.9771393839811	1
"Amine Oxidase reactions"	"Amine Oxidase reactions"	4	4	1	0.25	0.0019723865877712	1	1	1	0	0.9771393839811	1
"Synthesis of Ketone Bodies"	"Synthesis of Ketone Bodies"	4	4	1	0.25	0.00591715976331361	3	3	3	0	0.9771393839811	1
"Toxicity of botulinum toxin type G (BoNT/G)"	"Toxicity of botulinum toxin type G (BoNT/G)"	4	4	1	0.25	0.0157790927021696	8	8	8	0	0.9771393839811	1
