"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Transmembrane transport of small molecules"	"RPS27A UBA52 ABCA10 ABCA12 ABCA2 ABCA3 ABCA4 ABCA6 ABCA7 ABCA8 ABCA9 ABCB1 ABCB10 ABCB5 ABCB6 ABCB7 ABCB8 ABCC1 ABCC10 ABCC11 ABCC3 ABCC4 ABCC5 ABCC6 ABCC8 ABCC9 ABCD1 ABCD3 ABCG1 ABCG4 ABCG5 ABCG8 APOA1 CFTR PEX19 PEX3 GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 UBB UBC RAF1 ABCG2 SLC22A1 SLC22A2 SLC22A3 SLC5A7 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 PLG PRKACA PRKACB PRKACG CYCS CARM1 CHD9 CREBBP MED1 NCOA1 NCOA2 NCOA6 PPARA RXRA SMARCD3 TBL1X TBL1XR1 TGS1 NEDD4L TRPC1 WWP1 RHAG RHBG RHCG SLC14A1 SLC14A2 SLC18A1 SLC18A2 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A14 SLC6A18 SLC6A19 SLC6A2 SLC6A20 SLC6A3 SLC6A5 SLC6A6 SLC6A7 SLC6A9 SLC5A5 SLC15A1 SLC15A2 SLC15A3 SLC16A10 SLC17A1 SLC17A5 SLC17A6 SLC17A7 SLC17A8 SLC1A1 SLC1A2 SLC1A3 SLC1A4 SLC1A6 SLC1A7 SLC25A10 SLC32A1 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A3 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC5A8 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9 PRKAR2B TUBB4A TUBB4B AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR AQP1 AQP10 AQP11 AQP2 AQP3 AQP4 AQP5 AQP6 AQP7 AQP8 AVP AVPR2 MIP MYO5B PRKAR1A PRKAR1B PRKAR2A RAB11FIP2 SLC35A1 TRPC3 TRPC4 TRPC5 TRPC6 TRPC7 ATP1B1 ATP1B2 ATP1B3 SLC16A1 SLC16A3 SLC4A1 SLC4A10 SLC4A2 SLC4A3 SLC4A4 SLC4A5 SLC4A7 SLC4A8 SLC4A9 ALB CYP7A1 CYP7B1 FABP6 NR1H4 SLC10A2 SLCO1A2 SLCO1B1 SLCO1B3 SLC10A6 SLC13A1 SLC13A2 SLC13A3 SLC13A4 SLC16A7 SLC47A1 SLC47A2 APOB FTH1 FTL SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 PDZD11 SLC5A6 SLC12A1 SLC12A2 SLC12A3 SLC12A4 SLC12A5 SLC12A6 SLC12A7 ARHGEF9 ATP7A TUBB2A TUBB2B TUBB3 TUBB6 SLC2A11 SLC2A5 SLC2A7 SLC2A9 TFRC ABCD4 SLC2A1 SLC2A3 SLC46A1 SLC35D2 GCK SLC2A2 ATP6V0A1 ATP6V0A2 ATP6V0A4 ATP6V0B ATP6V0C ATP6V0D1 ATP6V0D2 ATP6V0E1 ATP6V0E2 ATP6V1A ATP6V1B1 ATP6V1B2 ATP6V1C1 ATP6V1C2 ATP6V1D ATP6V1E1 ATP6V1E2 ATP6V1F ATP6V1G1 ATP6V1G2 ATP6V1G3 ATP6V1H G6PC G6PC2 G6PC3 GCKR HK1 HK2 HK3 SLC11A1 SLC37A4 SLC5A1 SLC5A3 SLC5A4 SLC5A9 TCIRG1 PLAT S100A10 SLC2A10 SLC2A12 SLC2A6 SLC2A8 SLC27A1 GABRR1 GABRR2 GABRR3 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ RARA RARB RARG RXRB RXRG CERK CETP HMOX1 HMOX2 ATP2A1 ATP2A2 ATP2B1 ATP2B2 ATP2B3 ATP2B4 SLC8A1 SLC8A3 TF SLC5A11 SLC30A5 SLC30A6 SLC30A7 SLC30A8 ATP6AP1 ANO1 ANO10 ANO2 ANO3 ANO4 ANO5 ANO6 ANO7 ANO8 ANO9 ASIC1 ASIC2 ASIC4 ASIC5 ATP10A ATP10B ATP10D ATP11A ATP11B ATP11C ATP12A ATP1A1 ATP1A2 ATP1A4 ATP2C1 ATP2C2 ATP4A ATP4B ATP7B ATP8A1 ATP8A2 ATP8B1 ATP8B2 ATP8B3 ATP9A ATP9B BEST1 BEST2 BEST3 BEST4 BSND CLCA1 CLCA2 CLCA3P CLCA4 CLCN1 CLCN2 CLCN3 CLCN4 CLCN5 CLCN6 CLCN7 CLCNKA CLCNKB CLIC2 FKBP1B FXYD1 FXYD2 FXYD3 FXYD4 FXYD6 FXYD7 GLRA1 GLRA2 GLRA3 GLRA4 GLRB HTR3A HTR3B HTR3C HTR3D HTR3E MCOLN1 MCOLN2 MCOLN3 NALCN OSTM1 PLN RYR1 RYR2 SCNN1A SCNN1B SCNN1D SCNN1G SGK1 SGK2 SGK3 SLC17A3 SLC9C1 SLC9C2 SRI TPCN2 TRDN TRPA1 TRPC4AP TRPM1 TRPM2 TRPM3 TRPM4 TRPM5 TRPM6 TRPM7 TRPM8 TRPV2 TRPV4 TRPV5 TRPV6 TSC22D3 TTYH1 TTYH2 TTYH3 UNC79 UNC80 WNK1 WNK2 WNK3 WNK4 CP CYBRD1 FLVCR1 HEPH LCN2 SLC11A2 SLC22A17 SLC40A1 STEAP2 STEAP3 APOF COX11 COX16 COX18 COX19 COX4I1 COX5B COX6A1 COX6B1 COX6C COX7A2L COX7B COX7C COX8A LRPPRC SURF1 TACO1 ARL2 TBCD SLC30A1 SLC30A3 SLC31A1 SLC39A1 SLC39A10 SLC39A14 SLC39A2 SLC39A3 SLC39A4 SLC39A5 SLC39A6 SLC39A7 SLC41A1 SLC26A3 SLC26A6 SLC26A7 SLC26A9 SLC22A11 SLC22A12 SLC22A6 SLC22A7 SLC22A8 SLC22A15 SLC22A16 SLC22A18 SLC22A4 SLC22A5 APOD ARV1 CRABP2 LCN1 LCN12 LCN15 LCN9 SLC20A1 SLC20A2 SLC24A2 SLC24A3 SLC24A4 SLC27A4 SLC27A6 SLC28A1 SLC28A2 SLC28A3 SLC29A1 SLC29A2 SLC29A3 SLC29A4 SLC33A1 SLC34A1 SLC34A2 SLC34A3 SLC35A2 SLC35A3 SLC35B4 SLC35C1 SLC9A2 SLC9A3 SLC9A4 SLC9A5 SLC9A6 SLC9A7 SLC9A8 SLC9A9 SLCO1C1 SLCO2A1 SLCO2B1 SLCO3A1 SLCO4C1"
"Transmission across Chemical Synapses"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 GNAI3 GNAT3 MDM2 CREB1 BRAF HRAS MAPK1 RAF1 HSPA8 SLC22A1 SLC22A2 CHRNA1 CHRNA2 CHRNA3 CHRNA5 CHRNA6 CHRNA7 CHRNA9 CHRNB2 CHRNB3 CHRNB4 CHRND CHRNG BZRAP1 CHAT CPLX1 PPFIA1 PPFIA2 PPFIA3 PPFIA4 RAB3A RIMS1 SLC18A3 SLC5A7 SNAP25 STX1A STXBP1 SYT1 UNC13B PLCB1 PLCB3 PRKCA RPS6KA2 RPS6KA3 GRIA1 GRIA2 GRIA3 GRIA4 CALM1 DLG1 DLG3 GRIK2 GRIK3 GRIK4 NCALD CAMK4 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ16 KCNJ2 KCNJ3 KCNJ5 KCNJ6 KCNJ9 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL PRKCB ACTN2 AKAP9 CAMK2A CAMK2B CAMK2G GRIN1 GRIN2A GRIN2B GRIN2C NEFL PDPK1 PRKACA PRKACB PRKACG RASGRF1 RASGRF2 RPS6KA6 RRAS AP2A1 AP2A2 AP2M1 CACNA2D2 CACNB2 CACNB3 MAOA SLC18A2 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A3 SLC17A7 SLC1A1 SLC1A2 SLC1A3 SLC1A6 SLC1A7 SLC32A1 SLC38A1 SLC38A2 GLS GLS2 GLUL CACNB1 CACNB4 COMT PRKCG ARHGEF9 ABAT ALDH5A1 CACNA1A CACNA1B CACNA1E CACNA2D1 CACNA2D3 CACNG2 CACNG4 SYN1 SYN2 SYN3 GABRR1 GABRR2 GABRR3 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ GAD1 GAD2 DNAJC5 MYO6 AKAP5 CACNG3 CACNG8 EPB41L1 GRIP1 GRIP2 NSF ACHE BCHE"
"Transmission across Electrical Synapses"	"GJA10 GJC1 GJD2 PANX1"
"Transport and synthesis of PAPS"	"SLC26A1 SLC26A2 SLC35B2 SLC35B3"
"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus"	"XK"
"Transport of Mature Transcript to Cytoplasm"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF CDC40 CPSF1 CPSF2 DHX38 MAGOH RBM8A RNPS1 SLBP SRSF1 SRSF11 SRSF2 SRSF3 SRSF5 SRSF6 SRSF7 SRSF9 U2AF1 U2AF2 UPF3B NXF1"
"Transport of Mature mRNA Derived from an Intronless Transcript"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF CPSF1 CPSF2 NXF1"
"Transport of Mature mRNA derived from an Intron-Containing Transcript"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF CDC40 DHX38 MAGOH RBM8A RNPS1 SRSF1 SRSF11 SRSF2 SRSF3 SRSF5 SRSF6 SRSF7 SRSF9 U2AF1 U2AF2 UPF3B NXF1"
"Transport of Mature mRNAs Derived from Intronless Transcripts"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF CPSF1 CPSF2 SLBP NXF1"
"Transport of Ribonucleoproteins into the Host Nucleus"	"KPNA1 KPNB1 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR PNP BLOC1S6 PBRM1"
"Transport of connexins along the secretory pathway"	"GJA1 GJB1 GJB2"
"Transport of connexons to the plasma membrane"	"GJA1 GJB2"
"Transport of fatty acids"	"SLC27A1 APOD LCN1 LCN12 LCN15 LCN9 SLC27A4 SLC27A6"
"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	"F7 F2 GAS6 PROS1 F10 F9 PROZ"
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	"SLC22A1 SLC22A2 SLC22A3 SLC5A7 RHAG RHBG RHCG SLC14A1 SLC14A2 SLC18A1 SLC18A2 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A14 SLC6A18 SLC6A19 SLC6A2 SLC6A20 SLC6A3 SLC6A5 SLC6A6 SLC6A7 SLC6A9 SLC16A1 SLC16A3 SLC10A6 SLC13A1 SLC13A2 SLC13A3 SLC13A4 SLC16A7 SLC47A1 SLC47A2 SLC2A11 SLC2A5 SLC2A7 SLC2A9 SLC2A3 SLC2A2 SLC11A1 SLC5A1 SLC5A3 SLC5A4 SLC5A9 SLC2A10 SLC2A12 SLC2A6 SLC2A8 SLC5A11 SLC30A5 SLC30A6 SLC30A7 SLC30A8 CP HEPH SLC11A2 SLC40A1 SLC30A1 SLC30A3 SLC31A1 SLC39A1 SLC39A10 SLC39A14 SLC39A2 SLC39A3 SLC39A4 SLC39A5 SLC39A6 SLC39A7 SLC41A1 SLC22A11 SLC22A12 SLC22A6 SLC22A7 SLC22A8 SLC22A15 SLC22A16 SLC22A18 SLC22A4 SLC22A5"
"Transport of glycerol from adipocytes to the liver by Aquaporins"	"AQP7"
"Transport of inorganic cations/anions and amino acids/oligopeptides"	"SLC6A12 SLC6A14 SLC6A18 SLC6A19 SLC6A20 SLC6A6 SLC5A5 SLC15A1 SLC15A2 SLC15A3 SLC16A10 SLC17A1 SLC17A5 SLC17A6 SLC17A7 SLC17A8 SLC1A1 SLC1A2 SLC1A3 SLC1A4 SLC1A6 SLC1A7 SLC25A10 SLC32A1 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A3 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC5A8 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9 SLC4A1 SLC4A10 SLC4A2 SLC4A3 SLC4A4 SLC4A5 SLC4A7 SLC4A8 SLC4A9 SLC26A1 SLC26A2 SLC12A1 SLC12A2 SLC12A3 SLC12A4 SLC12A5 SLC12A6 SLC12A7 SLC8A1 SLC8A3 SLC26A3 SLC26A6 SLC26A7 SLC26A9 SLC20A1 SLC20A2 SLC24A2 SLC24A3 SLC24A4 SLC34A1 SLC34A2 SLC34A3 SLC9A2 SLC9A3 SLC9A4 SLC9A5 SLC9A6 SLC9A7 SLC9A8 SLC9A9"
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	"SLC28A1 SLC28A2 SLC28A3 SLC29A1 SLC29A2 SLC29A3 SLC29A4"
"Transport of nucleotide sugars"	"SLC35A1 SLC35B2 SLC35B3 SLC35D1 SLC35D2 SLC35A2 SLC35A3 SLC35B4 SLC35C1"
"Transport of organic anions"	"AVP ALB SLCO1A2 SLCO1B1 SLCO1B3 SLCO1C1 SLCO2A1 SLCO2B1 SLCO3A1 SLCO4C1"
"Transport of the SLBP Dependant Mature mRNA"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF SLBP NXF1"
"Transport of the SLBP independent Mature mRNA"	"NCBP1 NCBP2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR ALYREF NXF1"
"Transport of vitamins, nucleosides, and related molecules"	"AVP SLC35A1 ALB SLCO1A2 SLCO1B1 SLCO1B3 SLC35B2 SLC35B3 SLC35D1 PDZD11 SLC5A6 SLC35D2 SLC27A1 APOD LCN1 LCN12 LCN15 LCN9 SLC27A4 SLC27A6 SLC28A1 SLC28A2 SLC28A3 SLC29A1 SLC29A2 SLC29A3 SLC29A4 SLC33A1 SLC35A2 SLC35A3 SLC35B4 SLC35C1 SLCO1C1 SLCO2A1 SLCO2B1 SLCO3A1 SLCO4C1"
"Transport to the Golgi and subsequent modification"	"SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 FUT8 LMAN1 MAN1A1 MAN1A2 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B PREB ST3GAL4 ST6GAL1 ST8SIA2 ST8SIA3"
"Triglyceride Biosynthesis"	"ACACA FASN GPAM LCLAT1 DGAT1 DGAT2 LPCAT1 LPCAT4 HSD17B12 HSD17B3 LPIN1 LPIN2 LPIN3 ACLY AGPAT1 SLC25A1 ACSL1 ACSL3 ACSL4 ACSL5 ACSL6 ELOVL1 ELOVL2 ELOVL4 ELOVL5 ELOVL7 TECR AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 GK GK2 GK3P GPAT2 GPD1 GPD1L"
"Tristetraprolin (TTP) destabilizes mRNA"	"YWHAB DCP2 DIS3 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC7 EXOSC8 EXOSC9 MAPKAPK2 TNPO1 DCP1A XRN1 ZFP36"
"Tryptophan catabolism"	"CCBL1 AADAT AFMID CCBL2 HAAO IDO1 IDO2 KMO KYNU TDO2"
"Type I hemidesmosome assembly"	"LAMA3 LAMB3 LAMC2 PLEC CD151 DST ITGA6 ITGB4"
"Type II Na+/Pi cotransporters"	"SLC34A1 SLC34A2 SLC34A3"
"Ubiquinol biosynthesis"	"COQ2 COQ3 COQ6 COQ7 PDSS1 PDSS2"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ATM CDC25A CHEK1 CHEK2"
"Ubiquitin-dependent degradation of Cyclin D"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CCND1 CDK4"
"Ubiquitin-dependent degradation of Cyclin D1"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CCND1 CDK4"
"Unblocking of NMDA receptor, glutamate binding and activation"	"GRIA1 GRIA2 GRIA3 GRIA4 ACTN2 AKAP9 CAMK2A CAMK2B CAMK2G GRIN1 GRIN2A GRIN2B GRIN2C NEFL"
"Uncoating of the HIV Virion"	"PPIA"
"Uncoating of the Influenza Virion"	"XK PNP BLOC1S6 PBRM1"
"Unfolded Protein Response (UPR)"	"EIF2S1 PPP2R5B ASNS ATF3 ATF6 DCP2 DDIT3 DIS3 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC7 EXOSC8 EXOSC9 HERPUD1 IGFBP1 KHSRP NFYA NFYC PARN CALR HSPA5 XBP1 MBTPS1 MBTPS2 CUL7 DCTN1 SEC31A SHC1 ADD1 LMNA EDEM1 GFPT1 PREB TLN1 HYOU1 SULT1A3 ATP6V0D1 DNAJC3 SYVN1 SRPR SRPRB SSR1 CTDSP2 CXXC1 DDX11 DNAJB11 DNAJB9 ERN1 EXTL3 FKBP14 GOSR2 HDGF KLHDC3 PDIA5 PDIA6 SERP1 TATDN2 TPP1 TSPYL2 WFS1 WIPI1 YIF1A ZBTB17 EIF2AK3"
"Unwinding of DNA"	"CDC45 MCM2 MCM3 MCM4 MCM5 MCM7 MCM8 GINS1 GINS2 GINS4"
"Uptake and actions of bacterial toxins"	"MAP2K2 SNAP25 STX1A SYT1 MAP2K3 MAP2K6 MAP2K7 CALM1 FURIN HBEGF HSP90AA1 HSP90AB1 PDCD6IP PRDX1 ANTXR1 ANTXR2 CD9 EEF2 STX1B SV2A SV2B SV2C SYT2 VAMP1"
"Uptake and function of anthrax toxins"	"MAP2K2 MAP2K3 MAP2K6 MAP2K7 CALM1 FURIN PDCD6IP PRDX1 ANTXR1 ANTXR2"
"Uptake and function of diphtheria toxin"	"HBEGF HSP90AA1 HSP90AB1 CD9 EEF2"
"Urea cycle"	"ARG1 ARG2 ASL ASS1 CPS1 NAGS OTC SLC25A15 SLC25A2"
"Utilization of Ketone Bodies"	"ACAT1 BDH1 OXCT1"
"VEGF binds to VEGFR leading to receptor dimerization"	"KDR VEGFA FIGF VEGFB VEGFC FLT1 FLT4 PGF"
"VEGF ligand-receptor interactions"	"KDR VEGFA FIGF VEGFB VEGFC FLT1 FLT4 PGF"
"VEGFA-VEGFR2 Pathway"	"MAPK14 SRC AKT1 AKT2 AKT3 CTNNB1 CDK1 HRAS IL6 IL6R IL6ST JAK1 JAK2 KRAS MAP2K2 MAPK1 MAPK3 NRAS RAF1 TYK2 YWHAB HSPB1 PRKCA MAPKAPK2 MAPKAPK3 CALM1 PRKCB PDPK1 PRKACA PRKACB PRKACG THEM4 TRIB3 NCK1 NCK2 PAK1 PAK2 PAK3 RAC1 CYBA CYBB FYN ITGAV ITPR1 ITPR2 ITPR3 MAPKAP1 MLST8 MTOR NCF1 NCF2 NCF4 PIK3CA PIK3CB PIK3R1 PIK3R2 PLCG1 RICTOR VAV1 CDH5 CTNNA1 CTNND1 JUP HSP90AA1 PRKCD PTK2 ROCK1 SPHK1 DOCK1 ITGB3 KDR RASA1 RHOA ROCK2 SHB VAV2 VAV3 VEGFA CAV1 PXN MAPK13 PTK2B ELMO1 NOS3 PRKCZ BCAR1 ABI1 ABI2 BAIAP2 BRK1 CYFIP2 ELMO2 NCKAP1 WASF1 WASF3 SHC2 SH2D2A"
"VEGFR2 mediated cell proliferation"	"SRC CDK1 HRAS IL6 IL6R IL6ST JAK1 JAK2 KRAS MAP2K2 MAPK1 MAPK3 NRAS RAF1 TYK2 YWHAB PRKCA CALM1 PRKCB PDPK1 ITPR1 ITPR2 ITPR3 PLCG1 PRKCD SPHK1 KDR RASA1 VEGFA PRKCZ"
"VEGFR2 mediated vascular permeability"	"AKT1 AKT2 AKT3 CTNNB1 CALM1 PDPK1 THEM4 TRIB3 PAK1 PAK2 PAK3 RAC1 MAPKAP1 MLST8 MTOR RICTOR VAV1 CDH5 CTNNA1 CTNND1 JUP HSP90AA1 VAV2 VAV3 CAV1 NOS3"
"Vasopressin regulates renal water homeostasis via Aquaporins"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 PRKACA PRKACB PRKACG PRKAR2B AQP1 AQP2 AQP3 AQP4 AVP AVPR2 MYO5B PRKAR1A PRKAR1B PRKAR2A RAB11FIP2"
"Vasopressin-like receptors"	"AVP AVPR2 AVPR1A AVPR1B OXT OXTR"
"Vif-mediated degradation of APOBEC3G"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CUL5 TCEB1 TCEB2"
"Viral Messenger RNA Synthesis"	"GTF2F1 GTF2F2 POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR PNP BLOC1S6 PBRM1"
"Viral RNP Complexes in the Host Cell Nucleus"	"HSPA1A PNP BLOC1S6 PBRM1"
"Viral mRNA Translation"	"FAU RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52 XK PNP BLOC1S6 PBRM1 DNAJC3 GRSF1"
"Virus Assembly and Release"	"CALR CANX XK PNP BLOC1S6 PBRM1"
"Visual phototransduction"	"AGRN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 SDC1 SDC2 SDC4 ABCA4 APOA1 GNB1 GNB5 GNGT1 PRKCA CALM1 CNGA1 CNGB1 GNAT1 PDE6A PDE6B PDE6G RHO SAG NMT1 PLB1 APOA4 TTR FNTA AKR1C3 AKR1C1 APOB APOE LRP1 NAPEPLD APOA2 APOC2 APOC3 LDLR LPL OPN1LW OPN1MW OPN1SW CLPS PNLIP AKR1B10 BCO2 DHRS3 DHRS9 FNTB GRK1 GUCA1A GUCA1B GUCA1C GUCY2D GUCY2F HSD17B1 HSD17B6 LRAT LRP10 LRP12 LRP2 LRP8 MYO7A PPEF1 RBP1 RBP2 RBP3 RDH10 RDH11 RDH12 RDH16 RDH5 RDH8 RGS9 RGS9BP RLBP1 RPE65 SDR9C7"
"Vitamin B1 (thiamin) metabolism"	"SLC19A2 SLC19A3 THTPA TPK1"
"Vitamin B2 (riboflavin) metabolism"	"ACP5 ENPP1 FLAD1 RFK SLC52A3"
"Vitamin B5 (pantothenate) metabolism"	"FASN PDZD11 SLC5A6 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT"
"Vitamin C (ascorbate) metabolism"	"CYB5A SLC23A1 SLC23A2 SLC2A1 SLC2A3"
"Vitamin D (calciferol) metabolism"	"LGMN CYP24A1 CYP27B1 CYP2R1 CUBN LRP2 GC"
"Vitamins"	"CYP24A1 CYP26B1 CYP27B1 CYP2R1"
