"V1"
"2-LTR circle formation"	"XRCC4"
"Rap1 signalling"	"PRKACA PRKACB PRKG1 RAPGEF3"
"Ras activation uopn Ca2+ infux through NMDA receptor"	"CALM1 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D RASGRF1"
"Reactions specific to the complex N-glycan synthesis pathway"	"MAN2A2"
"Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor"	"RPS27A NOTCH1 NOTCH3 JAG2"
"Recognition and association of DNA glycosylase with site containing an affected pyrimidine"	"TDG"
"Recruitment of NuMA to mitotic centrosomes"	"NEDD1 NUMA1 TUBG2 TUBGCP6"
"Recruitment of mitotic centrosome proteins and complexes"	"AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 NUMA1 TUBG2 TUBGCP6"
"Recruitment of repair and signaling proteins to double-strand breaks"	"BRCA1 RAD50 TP53BP1"
"Recycling of bile acids and salts"	"ABCC3 NCOA2 ABCB11 ALB SLC10A2"
"Recycling of eIF2:GDP"	"EIF2S1 EIF2B5"
"Recycling pathway of L1"	"MAPK1 RPS6KA5 RPS6KA6 AP2A2 CLTA DNM2 KIF4A KIF4B KIAA1598"
"Reduction of cytosolic Ca++ levels"	"ATP2B1 ATP2B2 SLC8A1 SLC8A2"
"Regulated proteolysis of p75NTR"	"APH1A NCSTN"
"Regulation by c-FLIP"	"FADD RIPK1 FASLG"
"Regulation of AMPK activity via LKB1"	"PRKAG3 PRKAA1"
"Regulation of APC/C activators between G1/S and early anaphase"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1"
"Regulation of Apoptosis"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 PAK2 ARHGAP10"
"Regulation of Commissural axon pathfinding by Slit and Robo"	"ROBO1 SLIT2"
"Regulation of Complement cascade"	"C4B C5 PROS1 C4BPA C6 C7 CD46"
"Regulation of DNA replication"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CCNA1 MCM2 MCM4 MCM7 ORC6 RB1"
"Regulation of Glucokinase by Glucokinase Regulatory Protein"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR GCK GCKR"
"Regulation of HSF1-mediated heat shock response"	"MAPK1 CRYBA4 HSPA2 HSPA6"
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen"	"RPS27A RBX1 CREBBP EP300 CA9 EPAS1 HIF3A"
"Regulation of IFNA signaling"	"STAT1 IFNA21 IFNA8 STAT2"
"Regulation of IFNG signaling"	"JAK2 STAT1 IFNGR1 IFNGR2 PTPN2"
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"MMP1 PLG IGF2 KLK3 PAPPA"
"Regulation of KIT signaling"	"PRKCA SOS1 FYN SOCS6"
"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	"PAK2 ARHGAP10"
"Regulation of PLK1 Activity at G2/M Transition"	"RPS27A CUL1 AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 PPP1R12B"
"Regulation of Rheb GTPase activity by AMPK"	"PRKAG3 PRKAA1 TSC1"
"Regulation of actin dynamics for phagocytic cup formation"	"MAPK1 BTK NCK1 RAC1 FCGR1A FCGR3A SYK PTK2 HSP90AB1 ACTB DOCK1 LIMK1 MYH9 VAV2 WASL FCGR2A ABI1 ELMO2 MYH2 MYO1C MYO5A NCKAP1 WASF2 WIPF1"
"Regulation of activated PAK-2p34 by proteasome mediated degradation"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 PAK2"
"Regulation of beta-cell development"	"NOTCH1 AKT1 GCK HNF1B HNF4G NR5A2"
"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"NFYC MBTPS1 ACACB CHD9 CREBBP FASN GPAM HMGCR LSS MVK NCOA2 SMARCD3 TBL1XR1 SEC24B SEC24C"
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	"ARHGEF6 ACTN1 PXN"
"Regulation of gene expression by Hypoxia-inducible Factor"	"CREBBP EP300 CA9 EPAS1 HIF3A"
"Regulation of gene expression in beta cells"	"AKT1 GCK HNF4G"
"Regulation of gene expression in early pancreatic precursor cells"	"HNF1B NR5A2"
"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"	"NOTCH1 HNF1B"
"Regulation of innate immune responses to cytosolic DNA"	"RPS27A DTX4 TRIM21 NLRP4 TRIM56 ZBP1"
"Regulation of insulin secretion"	"GNA15 GNB2 GNB3 GNG8 SNAP25 STX1A PLCB1 PLCB2 PRKCA ADCY8 PRKACA PRKACB ITPR2 ITPR3 RAPGEF3 ADRA2C CACNA1C CACNB3 GNAS PRKAR1A IQGAP1 CACNA1E KCNB1 KCNC2 KCNS3"
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"NFYC CHD9 CREBBP HMGCR NCOA2 SMARCD3 TBL1XR1 CYP4A11 EP300 CLOCK NCOR1 NPAS2 RORA ACADM TIAM2 NCOR2 MED11 MED12 MED13 MED29 NCOA3 WWTR1 ACSL1 ABCA1 ABCB4 CPT2 ESRRA G0S2 GRHL1 NRF1 PLIN2 RGL1 SLC27A1 TEAD1 YAP1"
"Regulation of mRNA stability by proteins that bind AU-rich elements"	"EIF4G1 RPS27A AKT1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 DCP2 EXOSC5 PARN HNRNPD PRKCA TNPO1 DCP1A XRN1 ZFP36L1"
"Regulation of mitotic cell cycle"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1 SKP2"
"Regulation of ornithine decarboxylase (ODC)"	"PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 NQO1 ODC1"
"Regulation of pyruvate dehydrogenase (PDH) complex"	"PDK1 PDK4 PDP1"
"Regulation of signaling by CBL"	"FYN PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 SYK"
"Regulation of signaling by NODAL"	"TDGF1"
"Regulation of the Fanconi anemia pathway"	"RPS27A"
"Regulatory RNA pathways"	"POLR2A POLR2B AGO1 AGO3 AGO4 TNRC6B TNRC6C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR ASZ1 HENMT1 PIWIL2 TARBP2 TDRD6"
"Relaxin receptors"	"RXFP3"
"Release"	"BLOC1S6"
"Release of Hh-Np from the secreting cell"	"GPC5 SCUBE2"
"Release of eIF4E"	"MTOR"
"Removal of DNA patch containing abasic residue"	"FEN1 POLB POLD1 POLD3 TDG"
"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	"FURIN GAS6 PROS1"
"Removal of licensing factors from origins"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CCNA1 MCM2 MCM4 MCM7 ORC6 RB1"
"Removal of the Flap Intermediate"	"FEN1 POLD1 POLD3"
"Removal of the Flap Intermediate from the C-strand"	"FEN1 POLD1 POLD3"
"Repair synthesis for gap-filling by DNA polymerase in TC-NER"	"POLE POLD1 POLD3"
"Repair synthesis of patch ~27-30 bases long  by DNA polymerase"	"POLE POLD1 POLD3"
"Reproduction"	"ACR ADAM2 ADAM20 ADAM21 CATSPER1 CATSPER2 CATSPER3 CATSPERB IZUMO2 IZUMO4 ZP2"
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway"	"FEN1 POLB POLD1 POLD3 TDG"
"Resolution of AP sites via the single-nucleotide replacement pathway"	"POLB TDG"
"Resolution of Abasic Sites (AP sites)"	"FEN1 POLB POLD1 POLD3 TDG"
"Resolution of Sister Chromatid Cohesion"	"PPP2R1B BUB1B CDC20 CENPE KIF18A KIF2C CKAP5 CLASP1 NUP37 NUP43 RANBP2 CLASP2 AHCTF1 CASC5 CDCA5 CENPI CENPO CLIP1 MIS12 NSL1 RAD21 RCC2 SGOL2 SMC3 SPC24 SPDL1 WAPAL"
"Respiratory electron transport"	"SDHA SDHC ETFA LRPPRC NDUFS7 SCO1 UQCRC1"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	"SDHA SDHC ATP5B ATP5S ETFA LRPPRC NDUFS7 SCO1 UQCRC1"
"Response of Mtb to phagocytosis"	"MSRA"
"Response to elevated platelet cytosolic Ca2+"	"HSPA5 PRKCA APP CALM1 PLG ACTN2 EGF ITGB3 TLN1 ALB ACTN1 FN1 GAS6 PROS1 SELP KNG1 F5 FGG HGF HRG VWF IGF2 MMRN1 TF TTN WDR1"
"Retinoid cycle disease events"	"NAPEPLD"
"Retinoid metabolism and transport"	"GPC3 GPC4 GPC5 SDC3 APOB LRP1 LDLR BCO2 LRAT LRP2"
"Retrograde neurotrophin signalling"	"AP2A2 CLTA DNM2"
"Rev-mediated nuclear export of HIV RNA"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR"
"Reversal of Alkylation Damage By DNA Dioxygenases"	"ALKBH3"
"Reversible hydration of carbon dioxide"	"CA9 CA4"
"Rho GTPase cycle"	"SOS1 ARHGAP10 ARHGAP35 ARHGEF7 ITSN1 KALRN RHOA RHOC TIAM1 TRIO VAV2 ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2 INPP5B ARAP3 ARHGAP15 ARHGAP17 ARHGAP19 ARHGAP20 ARHGAP29 ARHGAP36 ARHGAP6 CHN1 GDI1 GDI2 RALBP1 STARD13 SYDE2 TRIP10"
"Ribosomal scanning and start codon recognition"	"EIF2S1 EIF3D EIF4G1 RPS13 RPS27A"
"Role of Abl in Robo-Slit signaling"	"ROBO1 SLIT2 CLASP1 CLASP2"
"Role of DCC in regulating apoptosis"	"UNC5A DAPK3"
"Role of LAT2/NTAL/LAB on calcium mobilization"	"AKT1 RPS6KB2 FGF17 FGF22 SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SYK TNRC6B TNRC6C"
"Role of phospholipids in phagocytosis"	"FCGR1A FCGR3A ITPR2 ITPR3 PIK3CA PIK3CB PIK3R1 SYK FCGR2A PLD1"
"Role of second messengers in netrin-1 signaling"	"TRPC1 TRPC5 TRPC6"
"S Phase"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 MCM2 MCM4 MCM7 ORC6 POLE FEN1 POLD1 POLD3 CDCA5 CKS1B GINS1 RAD21 RB1 SMC3 WAPAL"
"S33 mutants of beta-catenin aren't phosphorylated"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"S37 mutants of beta-catenin aren't phosphorylated"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"S45 mutants of beta-catenin aren't phosphorylated"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"S6K1 signalling"	"EIF4G1"
"S6K1-mediated signalling"	"EIF4G1 MTOR"
"SCF(Skp2)-mediated degradation of p27/p21"	"RPS27A CUL1 PSMA1 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 CKS1B"
"SCF-beta-TrCP mediated degradation of Emi1"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CDC20"
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"RAC1 FYN FARP2 PLXNA1 PLXNA2 SEMA3A TLN1"
"SHC-mediated cascade"	"FGF17 FGF22 SOS1 FGF19 FGFR3 FGFR4"
"SHC-mediated signalling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 SHC3"
"SHC-related events"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 SHC3"
"SHC-related events triggered by IGF1R"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 IGF2 SHC3"
"SHC1 events in EGFR signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 EGF EGFR"
"SHC1 events in ERBB2 signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 EGF EGFR ERBB2 ERBB3 ERBB4"
"SHC1 events in ERBB4 signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 ERBB4"
"SIRT1 negatively regulates rRNA Expression"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB RRP8 TAF1C"
"SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs"	"SNRPB ZNF473"
"SLBP independent Processing of Histone Pre-mRNAs"	"SNRPB ZNF473"
"SLC-mediated transmembrane transport"	"SLC14A1 SLC44A1 SLC44A2 SLC6A14 SLC6A15 SLC6A5 SLC15A3 SLC17A8 SLC1A5 SLC1A6 SLC1A7 SLC3A2 SLC5A8 SLC7A5 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR SLC4A10 SLC4A4 SLC4A5 SLC4A9 ALB SLC13A3 SLC13A5 SLC26A2 SLC35D2 GCK G6PC3 GCKR HK3 SLC5A2 SLC5A9 SLC27A1 SLC8A1 SLC8A2 SLC30A8 CP SLC31A1 SLC39A6 SLC39A8 SLC22A16 SLC22A18 SLC22A4 SLC22A5 APOD SLC24A2 SLC24A4 SLC33A1 SLC9A2 SLC9A3 SLCO1C1 SLCO2B1 SLCO4A1"
"SMAD2/3 MH2 Domain Mutants in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	"RPS27A TFDP1 RNF111 RBL1 SMAD2 SMAD4 CCNT1 WWTR1"
"SMAD4 MH2 Domain Mutants in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"SOS-mediated signalling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 IRS2"
"SRP-dependent cotranslational protein targeting to membrane"	"RPL3L RPL4 RPS13 RPS27A DDOST RPN2"
"STING mediated induction of host immune responses"	"DTX4 TRIM21 IFI16 NLRP4 PRKDC ZBP1"
"SUMO is proteolytically processed"	"SENP2 SENP5"
"SUMOylation"	"SENP2 SENP5"
"Scavenging by Class A Receptors"	"HSP90B1 COL1A2 COL3A1 COL4A1 APOB"
"Scavenging by Class B Receptors"	"APOB"
"Scavenging by Class F Receptors"	"APOB"
"Scavenging by Class H Receptors"	"APOB STAB2"
"Scavenging of heme from plasma"	"ALB CD163 LRP1"
"Sema3A PAK dependent Axon repulsion"	"PAK2 RAC1 FYN HSP90AB1 LIMK1 PLXNA1 PLXNA2 SEMA3A"
"Sema4D in semaphorin signaling"	"RAC1 ERBB2 ROCK1 ARHGAP35 LIMK1 MYH10 MYH11 MYH14 MYH9 PLXNB1 RHOA RHOC ROCK2 SEMA4D"
"Sema4D induced cell migration and growth-cone collapse"	"RAC1 ERBB2 ROCK1 LIMK1 MYH10 MYH11 MYH14 MYH9 PLXNB1 RHOA RHOC ROCK2 SEMA4D"
"Sema4D mediated inhibition of cell attachment and migration"	"RAC1 ARHGAP35 PLXNB1 RHOA SEMA4D"
"Semaphorin interactions"	"PAK2 RAC1 ERBB2 FYN ROCK1 HSP90AB1 ARHGAP35 FARP2 ITGA1 LIMK1 MYH10 MYH11 MYH14 MYH9 PLXNA1 PLXNA2 PLXNB1 PLXNB3 RHOA RHOC ROCK2 SEMA3A SEMA4A SEMA4D SEMA5A TLN1"
"Senescence-Associated Secretory Phenotype (SASP)"	"RPS27A CDC27 CCNA1 IL6 MAPK1 FOS MAPK7 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB EHMT1 EHMT2 STAT3"
"Separation of Sister Chromatids"	"RPS27A PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CENPE KIF18A KIF2C CKAP5 CLASP1 NUP37 NUP43 RANBP2 CLASP2 AHCTF1 CASC5 CDCA5 CENPI CENPO CLIP1 ESPL1 MIS12 NSL1 RAD21 RCC2 SGOL2 SMC3 SPC24 SPDL1 WAPAL"
"Serotonin Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1 SYN1"
"Serotonin and melatonin biosynthesis"	"ASMT"
"Serotonin receptors"	"HTR2A"
"Sialic acid metabolism"	"NEU2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Signal Transduction"	"EIF4G1 RPS27A GPC3 GPC4 GPC5 SDC3 APH1A NCSTN NOTCH1 NOTCH3 ABCA4 GNA15 GNB2 GNB3 GNG8 PLA2G4A AKT1 RPS6KB2 APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 BRAF IL6 JAK2 KIDINS220 MAP2K1 MAP2K2 MAPK1 CCL2 PLCB1 PLCB2 PRKCA CNTN1 DTX2 DTX4 ITCH JAG2 MIB1 MIB2 APP DUSP6 DUSP7 IRAK1 MAP3K7 MAPK7 NFKBIA RPS6KA5 FGF17 FGF22 TFDP1 TP53 C5 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 CMA1 FURIN PLG CAMK2A PRKACA PRKACB MAPK12 PRKAG3 NCK1 PAK2 RAC1 SOS1 BOC EVC EVC2 PTCH1 CREBBP TBL1XR1 PDE6A RHO AGO1 AGO3 AGO4 AP2A2 CD80 CLTA CYBB DNM2 EGF EGFR ERBB2 ERBB3 ERBB4 FBXW7 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR NCF2 NEDD4 PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ PRKG1 PTEN RAPGEF3 RICTOR RNF111 SH3KBP1 SYK TNRC6B TNRC6C CDH5 CTNNA1 CTNND1 ADRA2C ADRA1D DRD2 DRD3 HTR2A HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NPHP4 POMC STAT1 ARHGAP10 PTK2 ROCK1 GNAS PRKAR1A DAGLA ST3GAL3 COL4A1 COL4A3 COL4A4 COL6A2 COL6A3 COL6A6 IFT122 IFT140 IFT172 TTC21B WDR19 FZD3 PRICKLE1 SCRIB EP300 ARHGAP35 ARHGEF7 CSNK2A1 DOCK1 ITGB3 ITSN1 KALRN PLXNB1 RHOA RHOC ROCK2 TIAM1 TLN1 TRIO TRPC6 VAV2 ARHGEF1 LINGO1 MAG NCOR1 APOB LRP1 ADH1C NAPEPLD PDE1C GNAT2 NFATC1 NLK CALCRL RBL1 ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2 PARD3 PXN FN1 MAPK13 STAT3 P4HB CCR1 CCR3 CCRL2 CXCR3 XCL1 KMT2D NCOR2 SMARCA4 TRRAP LDLR AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTCH2 PTH2R WNT2 GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60 FGG CDC37 HDAC5 HDAC7 HDAC9 IL2RB IL3RA STAT5A TEC PDE4B GLI1 SUFU DKK1 SMAD2 SMAD4 ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3 BCO2 CCNT1 DVL3 EPS15L1 GUCY2F HECW1 LEO1 LGR6 LRAT LRP2 LRP5 LRP6 METAP2 MKNK1 MTMR4 OS9 PPEF1 PRKCZ RBP3 RGS9 RSPO4 SCUBE2 SFRP1 STAM STRAP TGFBR2 TNKS USP34 USP9X WWTR1 ZNRF3 BCAR1 DGKE DGKG PRKAA1 TSC1 YAP1 ABI1 ELMO2 NCKAP1 WASF2 VWF RGS12 RGS14 RGS4 PLCB4 PDE10A PDE11A PDE3A PDE7A PDE8A PDE8B RGS17 PIK3R6 GLI3 OR10AG1 OR10K1 OR11H1 OR11H4 OR11L1 OR13G1 OR13H1 OR13J1 OR14I1 OR1C1 OR1F1 OR1J4 OR1L3 OR1L4 OR1M1 OR2A2 OR2D3 OR2F1 OR2G2 OR2L13 OR2L8 OR2M2 OR2M3 OR2M4 OR2M5 OR2T3 OR2W1 OR2W3 OR4A5 OR4B1 OR4C11 OR4C12 OR4D2 OR4D6 OR4D9 OR4E2 OR4F6 OR4K1 OR4K15 OR51A2 OR51G1 OR51G2 OR51L1 OR51V1 OR52I1 OR52K2 OR52N4 OR5A1 OR5B17 OR5D13 OR5D16 OR5H14 OR5H6 OR6B3 OR6T1 OR8D2 OR8G5 OR8H3 OR8I2 OR8J3 OR8S1 OR8U1 APBB1IP IGF2 RARG RXRB RXRG ADCY10 INTU KIF7 IRS4 SHC3 TLR9 INPP5B PDK1 PDK4 THBS2 SORCS3 RALGDS FLT1 LFNG POGLUT1 ALDH1A3 SOCS6 ARAP3 ARHGAP15 ARHGAP17 ARHGAP19 ARHGAP20 ARHGAP29 ARHGAP36 ARHGAP6 CHN1 GDI1 GDI2 RALBP1 STARD13 SYDE2 TRIP10 AXL BMPR2 FER GREM2 NOG PRDM4 SMAD1 SMAD9 THBS4"
"Signal amplification"	"GNA15 GNB2 GNB3 GNG8 PLA2G4A"
"Signal attenuation"	"MAPK1 SOS1 IRS2 SHC3"
"Signal regulatory protein (SIRP) family interactions"	"PTK2 CD47"
"Signal transduction by L1"	"MAP2K1 MAP2K2 MAPK1 RAC1 EGFR CSNK2A1 ITGA5 ITGB3 VAV2"
"Signaling by Activin"	"SMAD2 SMAD4"
"Signaling by BMP"	"SMAD4 BMPR2 GREM2 NOG SMAD1 SMAD9"
"Signaling by EGFR"	"RPS27A AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 AP2A2 CD80 CLTA EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SH3KBP1 TNRC6B TNRC6C PRKAR1A ARHGEF7 PDE1C PXN EPS15L1 STAM"
"Signaling by EGFR in Cancer"	"RPS27A AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 AP2A2 CD80 CLTA EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SH3KBP1 TNRC6B TNRC6C PRKAR1A ARHGEF7 PDE1C PXN CDC37 EPS15L1 STAM"
"Signaling by EGFRvIII in Cancer"	"RPS27A AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 AP2A2 CD80 CLTA EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR SH3KBP1 TNRC6B TNRC6C PRKAR1A ARHGEF7 PDE1C PXN CDC37 EPS15L1 STAM"
"Signaling by ERBB2"	"RPS27A AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C PRKAR1A PDE1C CDC37"
"Signaling by ERBB4"	"RPS27A APH1A NCSTN AKT1 RPS6KB2 CUL1 RBX1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 ITCH FGF17 FGF22 SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR NEDD4 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C NCOR1 STAT5A YAP1"
"Signaling by FGFR"	"RPS27A AKT1 RPS6KB2 BRAF IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C PRKAR1A PDE1C MKNK1"
"Signaling by FGFR in disease"	"RPS27A AKT1 RPS6KB2 BRAF IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C CNTRL STAT1 PRKAR1A PDE1C STAT3 STAT5A CUX1 MKNK1 TRIM24"
"Signaling by FGFR mutants"	"FGF17 FGF22 SOS1 FGFR3 FGFR4 GAB1 PIK3CA PIK3R1 CNTRL STAT1 STAT3 STAT5A CUX1 TRIM24"
